Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
MDG,129,Madagascar,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,-18.77,46.87,510,534,416,417,119
MYS,131,Malaysia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,4.21,101.98,50,49,52,52,52
MRT,136,Mauritania,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,21.01,-10.94,0,0,0,0,0
MMR,28,Myanmar,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,21.91,95.96,8532,8608,7786,7538,7882
NPL,149,Nepal,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,28.39,84.12,386,370,392,464,457
NLD,150,Netherlands,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,52.13,5.29,51,50,39,32,30
NER,158,Niger,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,17.61,8.08,39,32,23,18,26
NOR,162,Norway,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,60.47,8.47,1,0,0,1,1
OMN,221,Oman,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,21.51,55.92,0,0,1,2,1
PHL,171,Philippines,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,12.88,121.77,355,344,364,394,402
POL,173,Poland,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,51.92,19.15,7,8,10,10,15
LCA,189,Saint Lucia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,13.91,-60.98,0,0,0,0,0
SAU,194,Saudi Arabia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,23.89,45.08,2,1,1,2,4
SVK,199,Slovakia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,48.67,19.7,8,8,8,8,8
SVN,198,Slovenia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,46.15,15,0,0,0,0,0
SLB,25,Solomon Islands,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,-9.65,160.16,0,0,0,0,0
ESP,203,Spain,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,40.46,-3.75,1,1,1,1,1
LKA,38,Sri Lanka,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,7.87,80.77,0,0,0,0,0
SUR,207,Suriname,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,3.92,-56.03,35,6,6,6,7
SWE,210,Sweden,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,60.13,18.64,0,0,1,1,1
CHE,211,Switzerland,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,46.82,8.23,65,81,91,89,100
THA,216,Thailand,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,15.87,100.99,2142,2295,2410,2499,2405
THA,154,The former Yugoslav Republic of Macedonia,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,41.61,21.75,2,2,2,2,0
TLS,176,Timor-Leste,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,-8.87,125.73,4,4,3,4,3
TTO,220,Trinidad and Tobago,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,10.69,-61.22,4,3,1,1,1
ARE,225,United Arab Emirates,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,23.42,53.85,15,3,13,16,2
GBR,229,United Kingdom,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,55.38,-3.44,11,11,14,12,7
UZB,235,Uzbekistan,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,41.38,64.59,0,1,1,1,2
VUT,155,Vanuatu,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,-15.38,166.96,0,1,0,0,0
VEN,236,Venezuela (Bolivarian Republic of),2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,6.42,-66.59,90,79,56,112,260
VNM,237,Viet Nam,2805,Rice (Milled Equivalent),5521,Feed,1000 tonnes,14.06,108.28,2544,2388,2526,2589,2712
